time,activityType,lapNumber,distance,speed,calories,lat,long,elevation,heartRate,cycles
0,0,1,5.44,3.57,0,50.778898,6.068943,210.2,,0
1,0,1,8.97,3.53,0,50.778869,6.068952,210.4,,2
2,0,1,12.51,3.54,0,50.778839,6.068963,210.5,,2
3,0,1,16.06,3.55,1,50.778809,6.068974,210.7,,1
4,0,1,19.69,3.63,1,50.778779,6.068986,210.9,,1
5,0,1,23.4,3.71,1,50.778749,6.068999,211.0,,0
6,0,1,27.14,3.74,1,50.778719,6.069012,211.2,,2
7,0,1,30.89,3.75,2,50.778688,6.069027,211.3,,1
8,0,1,34.65,3.76,2,50.778658,6.069041,211.4,,3
9,0,1,38.44,3.78,2,50.778627,6.069056,211.6,,1
10,0,1,42.22,3.78,2,50.778596,6.069072,211.7,,0
11,0,1,45.98,3.77,3,50.778566,6.069087,211.8,,2
12,0,1,49.74,3.76,3,50.778536,6.069103,212.0,,1
13,0,1,53.51,3.77,3,50.778505,6.069119,212.1,,1
14,0,1,57.29,3.78,3,50.778475,6.069135,212.2,,3
15,0,1,61.08,3.79,4,50.778445,6.069151,212.3,,3
16,0,1,64.87,3.78,4,50.778415,6.069166,212.4,,3
17,0,1,68.63,3.77,4,50.778386,6.069182,212.5,,3
18,0,1,72.35,3.72,4,50.778356,6.069197,212.6,,2
19,0,1,76.07,3.72,5,50.778327,6.069211,212.7,,3
20,0,1,79.79,3.72,5,50.778299,6.069225,212.8,,3
21,0,1,83.51,3.72,5,50.77827,6.069238,213.0,,2
22,0,1,87.23,3.72,5,50.778242,6.069251,213.2,,3
23,0,1,90.95,3.72,6,50.778215,6.069263,213.3,167,3
24,0,1,94.66,3.72,6,50.778188,6.069275,213.5,165,0
25,0,1,98.38,3.71,6,50.778161,6.069287,213.7,163,0
26,0,1,102.09,3.71,6,50.778135,6.0693,213.8,163,3
27,0,1,105.8,3.71,7,50.77811,6.069313,214.0,162,3
28,0,1,109.52,3.71,7,50.778085,6.069328,214.1,161,3
29,0,1,113.23,3.71,7,50.778061,6.069344,214.2,161,0
30,0,1,116.94,3.71,7,50.778038,6.069361,214.3,161,3
31,0,1,120.64,3.71,8,50.778015,6.069381,214.4,158,2
32,0,1,124.34,3.7,8,50.777994,6.069403,214.4,157,6
33,0,1,128.04,3.7,8,50.777973,6.069427,214.4,153,6
34,0,1,131.74,3.7,8,50.777954,6.069454,214.4,153,3
35,0,1,135.44,3.7,9,50.777936,6.069484,214.3,153,3
36,0,1,139.13,3.69,9,50.77792,6.069517,214.2,153,3
37,0,1,142.82,3.69,9,50.777905,6.069552,214.1,152,3
38,0,1,146.51,3.69,10,50.777892,6.069589,214.0,152,2
39,0,1,150.2,3.69,10,50.77788,6.069628,213.8,152,3
40,0,1,153.89,3.69,10,50.77787,6.069669,213.6,150,3
41,0,1,157.57,3.69,10,50.777862,6.06971,213.3,147,3
42,0,1,161.26,3.68,11,50.777856,6.069752,213.1,145,2
43,0,1,164.94,3.68,11,50.777851,6.069795,212.8,146,3
44,0,1,168.62,3.68,11,50.777849,6.069838,212.5,146,3
45,0,1,172.3,3.68,11,50.777849,6.069881,212.1,146,2
46,0,1,175.98,3.68,12,50.77785,6.069924,211.8,146,3
47,0,1,179.66,3.68,12,50.777854,6.069967,211.4,146,3
48,0,1,179.66,3.68,12,50.777859,6.070009,211.1,146,2
49,0,1,179.66,3.68,12,50.777866,6.07005,211.0,146,3
50,0,1,179.66,3.68,13,50.777876,6.07009,210.9,146,3
51,0,1,179.66,3.68,13,50.777887,6.07013,210.7,146,3
52,0,1,182.65,3.67,13,50.7779,6.070168,210.6,146,2
53,0,1,185.8,3.67,13,50.777915,6.070204,210.4,146,3
54,0,1,185.8,3.67,14,50.777933,6.070239,210.2,146,3
55,0,1,185.8,3.67,14,50.777952,6.070272,209.9,146,2
56,0,1,189.12,3.67,14,50.777973,6.070302,209.7,146,5
57,0,1,192.41,3.66,14,50.777995,6.07033,209.4,147,5
58,0,1,195.81,3.66,15,50.77802,6.070355,209.1,147,3
59,0,1,195.81,3.66,15,50.778046,6.070377,208.8,148,3
60,0,1,203.69,3.66,15,50.778073,6.070396,208.5,149,3
61,0,1,209.02,3.65,15,50.778102,6.07041,208.1,149,2
62,0,1,212.46,3.65,16,50.778133,6.07042,207.8,149,3
63,0,1,216.13,3.65,16,50.778164,6.070427,207.4,149,3
64,0,1,219.8,3.65,16,50.778197,6.07043,207.0,149,3
65,0,1,223.46,3.65,16,50.77823,6.070429,206.7,149,3
66,0,1,227.36,3.65,17,50.778265,6.070425,206.3,149,3
67,0,1,230.89,3.65,17,50.778299,6.070417,205.9,150,3
68,0,1,230.89,3.65,17,50.778334,6.070407,205.5,150,3
69,0,1,237.0,3.65,17,50.778369,6.070394,205.4,150,2
70,0,1,242.44,3.65,18,50.778404,6.070379,205.3,151,3
71,0,1,246.89,3.65,18,50.778439,6.070362,205.2,151,3
72,0,1,251.0,3.65,18,50.778474,6.070344,205.2,151,3
73,0,1,254.95,3.65,18,50.778509,6.070326,205.1,151,3
74,0,1,258.87,3.65,19,50.778543,6.070308,205.0,151,3
75,0,1,262.82,3.65,19,50.778577,6.070291,204.9,151,3
76,0,1,266.73,3.65,19,50.77861,6.070275,204.8,151,3
77,0,1,270.64,3.66,19,50.778643,6.07026,204.7,151,2
78,0,1,274.52,3.66,20,50.778676,6.070246,204.6,151,3
79,0,1,278.1,3.66,20,50.778708,6.070232,204.5,151,3
80,0,1,281.92,3.66,20,50.778741,6.070218,204.4,151,3
81,0,1,285.64,3.66,20,50.778773,6.070204,204.3,151,3
82,0,1,289.33,3.66,21,50.778804,6.07019,204.2,152,3
83,0,1,292.94,3.66,21,50.778836,6.070175,204.1,152,3
84,0,1,296.67,3.66,21,50.778868,6.07016,204.0,152,3
85,0,1,300.36,3.66,21,50.7789,6.070144,203.9,152,3
86,0,1,304.02,3.66,22,50.778931,6.070129,203.8,151,4
87,0,1,307.68,3.66,22,50.778963,6.070113,203.7,151,4
88,0,1,311.31,3.66,22,50.778994,6.070097,203.6,151,5
89,0,1,314.96,3.66,22,50.779025,6.070081,203.5,149,3
90,0,1,318.56,3.66,23,50.779055,6.070063,203.4,148,3
91,0,1,322.26,3.65,23,50.779085,6.070044,203.3,146,2
92,0,1,325.94,3.65,23,50.779114,6.070022,203.2,145,3
93,0,1,329.37,3.65,23,50.779141,6.069997,203.1,144,3
94,0,1,332.74,3.65,24,50.779167,6.069966,203.2,143,3
95,0,1,336.26,3.65,24,50.77919,6.06993,203.2,143,3
96,0,1,339.81,3.65,24,50.779211,6.069889,203.2,143,3
97,0,1,343.34,3.65,24,50.77923,6.069844,203.3,143,3
98,0,1,346.95,3.65,25,50.779246,6.069796,203.4,143,3
99,0,1,351.06,3.65,25,50.779259,6.069745,203.6,144,3
100,0,1,355.01,3.65,25,50.779269,6.069692,203.7,144,3
101,0,1,355.01,3.65,25,50.779277,6.069637,203.9,144,2
102,0,1,355.01,3.65,26,50.77928,6.069583,204.1,144,3
103,0,1,359.12,3.65,26,50.779281,6.069529,204.3,145,3
104,0,1,362.96,3.65,26,50.779279,6.069475,204.6,145,6
105,0,1,367.26,3.65,27,50.779273,6.069422,204.9,146,6
106,0,1,371.24,3.65,27,50.779264,6.06937,205.2,146,3
107,0,1,374.52,3.65,27,50.779253,6.069319,205.5,145,3
108,0,1,384.59,3.65,27,50.779238,6.069271,205.8,145,3
109,0,1,389.69,3.65,28,50.779221,6.069225,206.2,145,3
110,0,1,393.44,3.65,28,50.779202,6.069181,206.6,145,6
111,0,1,397.13,3.65,28,50.77918,6.06914,207.0,146,6
112,0,1,400.77,3.65,28,50.779156,6.069103,207.4,146,3
113,0,1,404.45,3.65,29,50.779131,6.06907,207.7,147,3
114,0,1,408.18,3.65,29,50.779104,6.06904,208.1,147,3
115,0,1,411.93,3.65,29,50.779076,6.069015,208.4,147,2
116,0,1,415.66,3.65,29,50.779046,6.068994,208.8,147,3
117,0,1,419.51,3.65,30,50.779015,6.068979,209.1,147,3
118,0,1,423.53,3.65,30,50.778981,6.068969,209.4,147,3
119,0,1,427.59,3.65,30,50.778946,6.068966,209.7,146,3
120,0,1,431.65,3.65,30,50.778909,6.068968,210.0,146,3
121,0,1,435.85,3.65,31,50.778869,6.068978,210.2,145,3
122,0,1,440.21,3.65,31,50.778826,6.068994,210.5,145,4
123,0,1,444.94,3.65,31,50.778781,6.069016,210.7,145,3
124,0,1,450.25,3.65,31,50.778734,6.069043,210.9,145,4
125,0,1,456.27,3.66,32,50.778685,6.069073,211.0,145,4
