time,activityType,lapNumber,distance,speed,calories,lat,long,elevation,heartRate,cycles
0,8,1,0.0,0.0,0,50.714878,6.131654,,68,
1,8,1,0.0,0.0,0,50.714869,6.131641,285.0,67,
2,8,1,1.85,1.5,0,50.714859,6.131626,285.0,69,
3,8,1,3.83,1.72,0,50.714849,6.13161,285.0,69,
4,8,1,5.81,1.74,0,50.714839,6.131594,284.0,70,
5,8,1,7.76,1.74,0,50.714829,6.131576,284.0,70,
6,8,1,9.64,1.68,0,50.714819,6.131558,284.0,71,
7,8,1,11.58,1.68,0,50.714809,6.13154,284.0,71,
8,8,1,13.45,1.71,0,50.714799,6.131521,284.0,72,
9,8,1,15.29,1.72,0,50.714789,6.131503,284.0,74,
10,8,1,17.1,1.72,0,50.71478,6.131485,283.0,76,
11,8,1,18.88,1.7,0,50.714772,6.131468,283.0,76,
12,8,1,20.6,1.61,0,50.714764,6.131452,283.0,75,
13,8,1,22.2,1.41,0,50.714755,6.131441,284.0,75,
14,8,1,23.81,1.42,0,50.714744,6.131439,284.0,75,
15,8,1,25.47,1.53,0,50.71473,6.131449,284.0,76,
16,8,1,27.19,1.65,0,50.714715,6.131465,284.0,78,
17,8,1,28.96,1.67,0,50.714701,6.131481,284.0,81,
18,8,1,30.75,1.73,0,50.714687,6.131496,284.0,86,
19,8,1,32.57,1.74,0,50.714673,6.131511,284.0,90,
20,8,1,34.43,1.76,0,50.714659,6.131526,284.0,90,
21,8,1,36.36,1.87,1,50.714643,6.131543,284.0,90,
22,8,1,38.39,2.07,1,50.714625,6.13156,284.0,88,
23,8,1,40.42,2.22,1,50.714605,6.131579,283.0,91,
24,8,1,42.45,2.27,1,50.714584,6.131599,283.0,91,
25,8,1,44.49,2.31,1,50.714562,6.13162,283.0,93,
26,8,1,46.53,2.36,1,50.714538,6.131641,283.0,93,
27,8,1,48.56,2.41,1,50.714514,6.131662,283.0,95,
28,8,1,50.6,2.45,1,50.714489,6.131683,283.0,96,
29,8,1,52.64,2.48,1,50.714464,6.131703,283.0,96,
30,8,1,54.69,2.52,2,50.714439,6.131722,283.0,98,
31,8,1,56.73,2.56,2,50.714414,6.131739,283.0,103,
32,8,1,58.77,2.59,2,50.714389,6.131756,283.0,108,
33,8,1,60.82,2.67,2,50.714365,6.13177,283.0,108,
34,8,1,62.87,2.73,2,50.714342,6.131782,283.0,110,
35,8,1,64.92,2.78,2,50.714318,6.131793,283.0,111,
36,8,1,66.97,2.8,2,50.714295,6.131803,283.0,114,
37,8,1,69.02,2.81,3,50.714272,6.131812,283.0,117,
38,8,1,71.08,2.8,3,50.714249,6.13182,283.0,116,
39,8,1,73.14,2.79,3,50.714226,6.131827,283.0,117,
40,8,1,75.2,2.77,3,50.714204,6.131834,283.0,118,
41,8,1,77.26,2.74,3,50.714183,6.131841,283.0,119,
42,8,1,79.34,2.7,3,50.714163,6.131848,284.0,121,
43,8,1,81.41,2.65,4,50.714147,6.131856,284.0,122,
44,8,1,83.47,2.57,4,50.714133,6.131862,284.0,122,
45,8,1,85.54,2.46,4,50.714123,6.131868,284.0,123,
46,8,1,87.61,2.35,4,50.714117,6.131871,284.0,123,
47,8,1,89.67,2.22,4,50.714114,6.131873,284.0,122,
48,8,1,91.74,2.05,5,50.714113,6.131874,284.0,122,
49,8,1,93.81,1.82,5,50.714113,6.131874,284.0,122,
50,8,1,93.81,0.0,5,50.714113,6.131874,284.0,121,
51,8,1,93.81,0.0,5,50.714113,6.131874,284.0,120,
52,8,1,93.81,0.0,5,50.714113,6.131874,284.0,119,
53,8,1,93.81,0.0,5,50.714113,6.131874,284.0,118,
54,8,1,93.81,0.0,6,50.714113,6.131874,284.0,119,
55,8,1,93.81,0.0,6,50.714113,6.131874,284.0,118,
56,8,1,93.81,0.0,6,50.714113,6.131874,284.0,116,
57,8,1,93.81,0.0,6,50.714113,6.131874,284.0,116,
58,8,1,93.81,0.0,6,50.714113,6.131874,283.0,116,
59,8,1,93.81,0.0,7,50.714113,6.131874,283.0,119,
60,8,1,93.81,0.0,7,50.714113,6.131874,283.0,119,
61,8,1,93.81,0.0,7,50.714113,6.131874,283.0,119,
62,8,1,93.81,0.0,7,50.714113,6.131874,283.0,119,
63,8,1,93.81,0.0,7,50.714113,6.131874,283.0,118,
64,8,1,93.81,0.0,7,50.714113,6.131874,283.0,119,
65,8,1,93.81,0.0,8,50.714113,6.131874,283.0,118,
66,8,1,93.81,0.0,8,50.714113,6.131874,283.0,118,
67,8,1,93.81,0.0,8,50.714113,6.131874,283.0,121,
68,8,1,93.81,0.0,8,50.714113,6.131874,284.0,120,
69,8,1,93.81,0.0,8,50.714113,6.131874,284.0,117,
70,8,1,93.81,0.0,8,50.714113,6.131875,284.0,115,
71,8,1,93.81,0.0,9,50.714113,6.131878,284.0,115,
72,8,1,94.35,1.0,9,50.714113,6.131884,284.0,115,
73,8,1,95.99,1.21,9,50.714113,6.131894,284.0,114,
74,8,1,97.56,1.3,9,50.714113,6.131908,284.0,115,
75,8,1,99.05,1.29,9,50.714113,6.131926,284.0,116,
76,8,1,100.52,1.25,9,50.714113,6.131944,284.0,116,
77,8,1,100.52,1.12,10,50.714112,6.131961,284.0,116,
78,8,1,100.52,0.96,10,50.714111,6.131975,284.0,115,
79,8,1,101.12,0.8,10,50.714109,6.131983,284.0,117,
80,8,1,101.12,0.62,10,50.714108,6.131987,284.0,118,
81,8,1,103.46,0.44,10,50.714107,6.131989,284.0,118,
82,8,1,104.14,0.27,11,50.714107,6.131989,284.0,116,
83,8,1,104.14,0.0,11,50.714109,6.131988,284.0,115,
