time,activityType,lapNumber,distance,speed,calories,lat,long,elevation,heartRate,cycles
0,0,1,0.8,0.0,0,50.776095,6.04806,207.6,75,5
1,0,1,1.43,1.28,0,50.776105,6.048072,207.6,74,0
2,0,1,2.29,1.45,0,50.776113,6.048079,207.6,74,2
3,0,1,3.19,1.52,0,50.77612,6.048082,207.6,74,1
4,0,1,4.08,1.51,0,50.776126,6.048083,207.6,74,2
5,0,1,4.88,1.44,0,50.77613,6.048081,207.6,74,2
6,0,1,5.62,1.38,0,50.776134,6.048078,207.6,74,3
7,0,1,6.32,1.34,0,50.776136,6.048073,207.6,74,2
8,0,1,7.02,1.35,0,50.776138,6.048068,207.5,75,3
9,0,1,7.69,1.34,0,50.776138,6.048064,207.5,75,2
10,0,1,8.33,1.33,0,50.776138,6.048061,207.5,77,3
11,0,1,8.94,1.31,0,50.776137,6.04806,207.5,77,3
12,0,1,9.52,1.29,0,50.776136,6.048061,207.5,77,2
13,0,1,10.08,1.27,0,50.776134,6.048065,207.5,77,5
14,0,1,10.61,1.24,0,50.776133,6.048065,207.5,77,5
15,0,1,11.19,1.31,0,50.776133,6.048055,207.5,80,3
16,0,1,11.94,1.41,0,50.776135,6.048031,207.5,85,2
17,0,1,12.88,1.53,0,50.776139,6.047997,207.5,88,3
18,0,1,13.98,1.63,1,50.776143,6.04796,207.5,89,2
19,0,1,15.21,1.72,1,50.776148,6.047926,207.5,90,3
20,0,1,16.55,1.78,1,50.776153,6.047895,207.5,90,2
21,0,1,17.89,1.78,1,50.776159,6.047865,207.5,93,3
22,0,1,19.23,1.78,1,50.776165,6.047836,207.5,97,2
23,0,1,20.58,1.78,1,50.776171,6.047808,207.5,97,3
24,0,1,21.92,1.79,1,50.776177,6.047779,207.5,97,3
25,0,1,23.27,1.79,1,50.776183,6.047749,207.5,98,5
26,0,1,24.61,1.79,1,50.77619,6.047718,207.5,99,5
27,0,1,25.96,1.79,1,50.776197,6.047686,207.5,103,3
28,0,1,27.31,1.79,1,50.776204,6.047653,207.5,110,2
29,0,1,28.66,1.79,1,50.776211,6.04762,207.5,113,3
30,0,1,30.01,1.79,1,50.776218,6.047586,207.5,114,2
31,0,1,31.37,1.79,1,50.776225,6.047551,207.5,115,3
32,0,1,32.72,1.79,2,50.776232,6.047515,207.5,115,2
33,0,1,34.08,1.79,2,50.776239,6.047479,207.5,116,3
34,0,1,35.44,1.8,2,50.776245,6.047442,207.5,118,2
35,0,1,36.81,1.8,2,50.776252,6.047404,207.4,119,3
36,0,1,38.18,1.8,2,50.776258,6.047365,207.4,120,3
37,0,1,39.55,1.8,2,50.776264,6.047326,207.4,121,2
38,0,1,40.93,1.8,2,50.776271,6.047287,207.4,122,3
39,0,1,42.31,1.81,2,50.776277,6.047247,207.4,123,2
40,0,1,43.69,1.81,2,50.776285,6.047208,207.4,125,2
41,0,1,45.08,1.81,2,50.776293,6.047168,207.4,125,3
42,0,1,46.47,1.81,3,50.776302,6.04713,207.4,124,3
