time,activityType,lapNumber,distance,speed,calories,lat,long,elevation,heartRate,cycles
0,0,1,0.0,0.0,0,50.776939,6.048025,205.0,93,0
1,0,1,0.0,0.0,0,50.77696,6.048018,205.0,95,0
2,0,1,2.83,1.88,0,50.77698,6.048011,205.0,94,0
3,0,1,5.47,2.14,0,50.776998,6.048005,205.0,96,0
4,0,1,7.96,2.19,0,50.777015,6.048,205.0,97,0
5,0,1,10.36,2.1,1,50.777031,6.047995,205.0,98,0
6,0,1,12.66,1.95,1,50.777046,6.047992,205.0,99,8
7,0,1,14.87,1.79,1,50.77706,6.047989,205.0,99,3
8,0,1,17.02,1.64,1,50.777073,6.047987,205.0,99,2
9,0,1,19.16,1.56,2,50.777086,6.047986,205.0,102,3
10,0,1,21.26,1.6,2,50.777098,6.047986,205.0,105,2
11,0,1,23.23,1.48,2,50.77711,6.047986,205.0,105,3
12,0,1,25.13,1.25,2,50.777121,6.047988,205.0,105,2
13,0,1,26.96,1.13,2,50.777133,6.04799,205.0,105,3
14,0,1,28.73,1.15,3,50.777144,6.047994,204.0,107,3
15,0,1,30.51,1.04,3,50.777156,6.047999,204.0,109,2
16,0,1,32.32,1.32,3,50.777169,6.048009,204.0,110,3
17,0,1,34.18,1.49,3,50.777182,6.048027,204.0,112,2
18,0,1,36.07,1.72,3,50.777197,6.048045,204.0,114,3
19,0,1,37.98,1.64,4,50.777211,6.048054,204.0,114,2
20,0,1,39.9,1.69,4,50.777228,6.048057,205.0,113,3
21,0,1,41.84,1.65,4,50.777247,6.048056,205.0,114,2
22,0,1,43.79,1.68,4,50.777263,6.048053,204.0,116,3
23,0,1,45.75,1.68,4,50.777276,6.048049,204.0,119,3
24,0,1,47.71,1.68,5,50.77729,6.048045,204.0,120,2
25,0,1,49.67,1.68,5,50.777308,6.048043,204.0,119,3
26,0,1,51.62,1.68,5,50.777328,6.048046,204.0,122,2
27,0,1,53.58,1.68,5,50.77735,6.048055,204.0,126,3
