time,activityType,lapNumber,distance,speed,calories,lat,long,elevation,heartRate,cycles
0,0,1,0.0,0.0,0,50.776551,6.04815,207.3,107,0
1,0,1,0.0,0.0,0,50.776571,6.048142,207.3,110,0
2,0,1,2.65,2.36,0,50.776592,6.048131,207.3,110,0
3,0,1,5.65,2.28,0,50.776612,6.048118,207.3,110,0
4,0,1,8.52,2.38,0,50.776631,6.048101,207.3,111,0
5,0,1,11.34,2.43,1,50.776651,6.048084,207.3,110,0
6,0,1,14.13,2.45,1,50.776671,6.048065,207.3,110,0
7,0,1,16.91,2.41,1,50.77669,6.048046,207.3,113,0
8,0,1,19.69,2.43,1,50.776709,6.048027,207.3,112,7
9,0,1,22.42,2.46,1,50.776728,6.048009,207.3,114,3
10,0,1,25.13,2.32,2,50.776747,6.047992,207.2,113,3
11,0,1,27.89,2.32,2,50.776766,6.047977,207.2,114,2
12,0,1,30.63,2.52,2,50.776785,6.047964,207.2,115,3
13,0,1,33.34,2.41,2,50.776804,6.047955,207.1,116,2
14,0,1,36.01,2.24,3,50.776823,6.047949,207.1,119,3
15,0,1,38.66,2.15,3,50.776843,6.047947,207.1,122,3
16,0,1,41.28,2.14,3,50.776862,6.047949,207.0,122,2
17,0,1,43.84,1.99,3,50.776883,6.047954,207.0,123,3
18,0,1,46.29,1.79,4,50.776905,6.047961,206.9,126,3
19,0,1,48.63,1.5,4,50.776928,6.04797,206.8,127,2
20,0,1,50.88,1.32,4,50.776954,6.04798,206.8,126,3
21,0,1,52.99,1.15,4,50.776982,6.04799,206.7,123,2
22,0,1,55.0,0.78,4,50.777013,6.048,206.7,124,3
23,0,1,57.01,0.84,5,50.777045,6.04801,206.6,126,3
24,0,1,59.02,1.06,5,50.777077,6.048017,206.5,123,2
25,0,1,61.03,1.11,5,50.777107,6.048023,206.5,123,3
26,0,1,63.04,1.14,5,50.777133,6.048027,206.4,121,3
27,0,1,65.05,0.98,5,50.777153,6.048028,206.4,120,2
28,0,1,67.06,0.98,5,50.777168,6.048025,206.3,118,3
29,0,1,69.07,0.98,6,50.77718,6.04802,206.3,119,2
30,0,1,71.08,0.98,6,50.777191,6.048014,206.3,120,3
31,0,1,73.09,0.98,6,50.777207,6.048007,206.2,122,2
32,0,1,75.1,0.99,6,50.777228,6.048002,206.2,123,3
33,0,1,77.11,0.99,6,50.777254,6.047999,206.1,124,3
34,0,1,79.12,1.0,6,50.777279,6.048001,206.1,124,2
35,0,1,81.14,1.0,7,50.777302,6.04801,206.0,122,3
36,0,1,83.15,1.01,7,50.777324,6.048026,206.0,123,3
37,0,1,85.17,1.02,7,50.777344,6.048045,206.0,124,2
38,0,1,87.19,1.03,7,50.777366,6.048067,205.9,124,3
39,0,1,89.22,1.04,7,50.777388,6.048089,205.9,125,2
40,0,1,91.25,1.05,7,50.777412,6.048109,205.9,125,3
41,0,1,93.27,1.06,8,50.777435,6.048124,205.9,126,2
42,0,1,95.31,1.07,8,50.777456,6.048132,205.8,124,3
43,0,1,97.34,1.08,8,50.777477,6.048134,205.8,125,3
44,0,1,99.38,1.09,8,50.777498,6.048134,205.8,126,2
45,0,1,101.42,1.1,8,50.777519,6.048134,205.7,126,3
46,0,1,103.45,1.11,8,50.777542,6.048138,205.6,125,2
47,0,1,105.49,1.12,9,50.777567,6.048144,205.5,128,3
48,0,1,107.53,1.13,9,50.777593,6.048152,205.4,130,3
49,0,1,109.57,1.17,9,50.777619,6.048161,205.4,130,2
50,0,1,111.61,1.23,9,50.777645,6.048169,205.3,130,3
51,0,1,112.3,1.37,9,50.777672,6.048177,205.2,131,2
